"","Number of People","CI_Prop_low","CI_Prop_upp","Year","Dem_group","Category"
"1",684415,630038,738793,"2009","Underweight","BMI"
"2",746705,685185,808224,"2007","Underweight","BMI"
"3",767534,677359,857710,"2001","Underweight","BMI"
"4",769937,701474,838400,"2015","Underweight","BMI"
"5",790248,724429,856066,"2019","Underweight","BMI"
"6",800936,716268,885605,"2012","Underweight","BMI"
"7",812362,739481,885242,"2005","Underweight","BMI"
"8",829826,766827,892825,"2011","Underweight","BMI"
"9",839513,754230,924796,"2003","Underweight","BMI"
"10",860299,767332,953267,"2020","Underweight","BMI"
"11",860789,781354,940223,"2013","Underweight","BMI"
"12",867600,791681,943519,"2018","Underweight","BMI"
"13",885826,776225,995428,"2017","Underweight","BMI"
"14",898546,780021,1017070,"2020","Age 18 to 24","Age"
"15",920915,828075,1013755,"2016","Underweight","BMI"
"16",942582,846773,1038391,"2014","Underweight","BMI"
"17",970932,855927,1085938,"2014","Age 18 to 24","Age"
"18",981992,883880,1080103,"2001","Age 25 to 29","Age"
"19",982896,867043,1098749,"2001","Age 18 to 24","Age"
"20",986346,878803,1093889,"2017","Age 18 to 24","Age"
"21",993364,848678,1138050,"2009","Age 18 to 24","Age"
"22",1008477,903740,1113213,"2015","Age 18 to 24","Age"
"23",1017110,913912,1120307,"2016","Age 18 to 24","Age"
"24",1018088,896122,1140054,"2011","Age 18 to 24","Age"
"25",1056522,947628,1165415,"2019","Age 18 to 24","Age"
"26",1064532,954025,1175038,"2013","Age 18 to 24","Age"
"27",1085819,972711,1198926,"2018","Age 18 to 24","Age"
"28",1106290,1009514,1203066,"2017","Age 25 to 29","Age"
"29",1127711,1004376,1251046,"2012","Age 18 to 24","Age"
"30",1133949,1000212,1267685,"2020","Age 25 to 29","Age"
"31",1165147,1061986,1268307,"2016","Age 25 to 29","Age"
"32",1169550,1060160,1278940,"2018","Age 25 to 29","Age"
"33",1172868,1061285,1284452,"2015","Age 25 to 29","Age"
"34",1183070,1062298,1303842,"2019","Age 25 to 29","Age"
"35",1199047,1068086,1330009,"2009","Age 25 to 29","Age"
"36",1217053,1104883,1329223,"2011","Age 25 to 29","Age"
"37",1218776,1111650,1325901,"2014","Age 25 to 29","Age"
"38",1259798,1127813,1391784,"2012","Age 25 to 29","Age"
"39",1273544,1155750,1391337,"2013","Age 25 to 29","Age"
"40",1288941,1122493,1455390,"2007","Age 18 to 24","Age"
"41",1319100,1205990,1432209,"2007","Age 25 to 29","Age"
"42",1325970,1215271,1436669,"2005","Age 25 to 29","Age"
"43",1366411,1244955,1487867,"2003","Age 25 to 29","Age"
"44",1491965,1337748,1646183,"2005","Age 18 to 24","Age"
"45",1582530,1451078,1713983,"2001","Age 30 to 34","Age"
"46",1592763,1444268,1741257,"2003","Age 18 to 24","Age"
"47",1748032,1613320,1882744,"2015","Age 30 to 34","Age"
"48",1764010,1652678,1875341,"2013","Age 30 to 34","Age"
"49",1764483,1636712,1892254,"2011","Age 30 to 34","Age"
"50",1786643,1666452,1906835,"2016","Age 30 to 34","Age"
"51",1888463,1759432,2017495,"2012","Age 30 to 34","Age"
"52",1889452,1723690,2055214,"2020","Age 30 to 34","Age"
"53",1951824,1796945,2106703,"2017","Age 30 to 34","Age"
"54",2006812,1863438,2150185,"2020","Age 35 to 39","Age"
"55",2031910,1887985,2175836,"2014","Age 30 to 34","Age"
"56",2040579,1898841,2182318,"2018","Age 30 to 34","Age"
"57",2048645,1923411,2173879,"2005","Age 30 to 34","Age"
"58",2057083,1912839,2201328,"2019","Age 30 to 34","Age"
"59",2108792,1961647,2255938,"2009","Age 30 to 34","Age"
"60",2113112,1986203,2240022,"2013","Age 35 to 39","Age"
"61",2125447,1995620,2255274,"2011","Age 35 to 39","Age"
"62",2133345,1996057,2270632,"2003","Age 30 to 34","Age"
"63",2153961,2004190,2303731,"2007","Age 30 to 34","Age"
"64",2168001,2031979,2304023,"2012","Age 35 to 39","Age"
"65",2183774,2052943,2314605,"2015","Age 35 to 39","Age"
"66",2206130,2057744,2354517,"2017","Age 35 to 39","Age"
"67",2231655,2083547,2379764,"2001","Age 35 to 39","Age"
"68",2284019,2139006,2429031,"2014","Age 35 to 39","Age"
"69",2414792,2277080,2552505,"2016","Age 35 to 39","Age"
"70",2421782,2275657,2567906,"2018","Age 35 to 39","Age"
"71",2442632,2306281,2578982,"2009","Age 35 to 39","Age"
"72",2451869,2299356,2604382,"2019","Age 35 to 39","Age"
"73",2828378,2681194,2975562,"2005","Age 35 to 39","Age"
"74",2895167,2737223,3053111,"2007","Age 35 to 39","Age"
"75",3011437,2827885,3194989,"2020","Age 40 to 44","Age"
"76",3017665,2847162,3188168,"2003","Age 35 to 39","Age"
"77",3119022,2957418,3280625,"2019","Age 40 to 44","Age"
"78",3130416,2936037,3324794,"2017","Age 40 to 44","Age"
"79",3162620,2999649,3325591,"2015","Age 40 to 44","Age"
"80",3227722,3056223,3399221,"2016","Age 40 to 44","Age"
"81",3242248,3052763,3431733,"2020","Age 45 to 49","Age"
"82",3335978,3157420,3514537,"2018","Age 40 to 44","Age"
"83",3362635,3171724,3553545,"2001","Age 40 to 44","Age"
"84",3430316,3261093,3599538,"2013","Age 40 to 44","Age"
"85",3492565,3328714,3656416,"2011","Age 40 to 44","Age"
"86",3576023,3392232,3759814,"2014","Age 40 to 44","Age"
