"","Proportion","CI_Prop_low","CI_Prop_upp","Year","Dem_group","Category"
"1",2.87,2.5,3.25,"2020","Age 18 to 24","Age"
"2",3.04,2.68,3.39,"2014","Age 18 to 24","Age"
"3",3.09,2.76,3.43,"2017","Age 18 to 24","Age"
"4",3.15,2.83,3.47,"2015","Age 18 to 24","Age"
"5",3.17,2.85,3.49,"2016","Age 18 to 24","Age"
"6",3.33,2.99,3.67,"2013","Age 18 to 24","Age"
"7",3.36,1.9,4.83,"1997","Age 18 to 24","Age"
"8",3.4,3,3.8,"2011","Age 18 to 24","Age"
"9",3.42,3.07,3.78,"2018","Age 18 to 24","Age"
"10",3.44,3.09,3.79,"2019","Age 18 to 24","Age"
"11",3.47,2.97,3.97,"2000","Age 18 to 24","Age"
"12",3.57,3.18,3.95,"2012","Age 18 to 24","Age"
"13",3.6,2.53,4.67,"1999","Age 18 to 24","Age"
"14",3.7,3.27,4.14,"2001","Age 18 to 24","Age"
"15",3.9,3.34,4.45,"2009","Age 18 to 24","Age"
"16",4.09,2.53,5.64,"2010","Age 18 to 24","Age"
"17",4.23,2.72,5.74,"1996","Age 18 to 24","Age"
"18",4.35,2.2,6.5,"1998","Age 18 to 24","Age"
"19",4.82,3.81,5.83,"2004","Age 18 to 24","Age"
"20",5.14,4.49,5.79,"2007","Age 18 to 24","Age"
"21",5.19,4.66,5.71,"2005","Age 18 to 24","Age"
"22",5.23,4.51,5.94,"2002","Age 18 to 24","Age"
"23",5.39,3.63,7.15,"1998","Age 25 to 29","Age"
"24",5.42,4.95,5.88,"2017","Age 25 to 29","Age"
"25",5.44,4.81,6.06,"2020","Age 25 to 29","Age"
"26",5.48,4.94,6.01,"2001","Age 25 to 29","Age"
"27",5.56,4.89,6.23,"2000","Age 25 to 29","Age"
"28",5.6,5.08,6.11,"2018","Age 25 to 29","Age"
"29",5.61,5.12,6.09,"2016","Age 25 to 29","Age"
"30",5.64,3.84,7.45,"1998","Age 30 to 34","Age"
"31",5.74,5.21,6.26,"2003","Age 18 to 24","Age"
"32",5.77,5.24,6.31,"2015","Age 25 to 29","Age"
"33",5.87,5.29,6.45,"2019","Age 25 to 29","Age"
"34",5.93,5.42,6.44,"2014","Age 25 to 29","Age"
"35",6.29,5.72,6.85,"2011","Age 25 to 29","Age"
"36",6.33,5.69,6.97,"2012","Age 25 to 29","Age"
"37",6.43,5.86,7.01,"2013","Age 25 to 29","Age"
"38",6.94,6.21,7.68,"2009","Age 25 to 29","Age"
"39",7.07,5.3,8.84,"1999","Age 25 to 29","Age"
"40",7.34,4.98,9.7,"1997","Age 30 to 34","Age"
"41",7.37,6.75,7.99,"2007","Age 25 to 29","Age"
"42",7.54,6.92,8.15,"2005","Age 25 to 29","Age"
"43",7.61,7.04,8.17,"2015","Age 30 to 34","Age"
"44",7.68,7.01,8.34,"2003","Age 25 to 29","Age"
"45",7.7,6.91,8.48,"2000","Age 30 to 34","Age"
"46",7.73,7.11,8.35,"2001","Age 30 to 34","Age"
"47",7.74,7.23,8.24,"2016","Age 30 to 34","Age"
"48",7.84,7.18,8.51,"2020","Age 30 to 34","Age"
"49",7.86,6.96,8.76,"2002","Age 25 to 29","Age"
"50",7.89,7.4,8.37,"2013","Age 30 to 34","Age"
"51",8.13,6.46,9.8,"1999","Age 30 to 34","Age"
"52",8.24,7.61,8.87,"2017","Age 30 to 34","Age"
"53",8.26,7.69,8.84,"2011","Age 30 to 34","Age"
"54",8.34,6.42,10.26,"1996","Age 30 to 34","Age"
"55",8.37,5.94,10.79,"1997","Age 25 to 29","Age"
"56",8.5,6.99,10.01,"2004","Age 25 to 29","Age"
"57",8.61,8.03,9.18,"2018","Age 30 to 34","Age"
"58",8.7,5.45,11.95,"1996","Age 25 to 29","Age"
"59",8.73,8.14,9.33,"2019","Age 30 to 34","Age"
"60",8.74,8.16,9.31,"2012","Age 30 to 34","Age"
"61",8.76,6.12,11.4,"2010","Age 25 to 29","Age"
"62",9.13,8.51,9.75,"2009","Age 30 to 34","Age"
"63",9.16,8.54,9.79,"2014","Age 30 to 34","Age"
"64",9.32,8.69,9.95,"2007","Age 30 to 34","Age"
"65",9.37,8.81,9.92,"2005","Age 30 to 34","Age"
"66",9.85,9.16,10.53,"2020","Age 35 to 39","Age"
"67",10.18,8.1,12.25,"1997","Age 35 to 39","Age"
"68",10.43,9.76,11.09,"2001","Age 35 to 39","Age"
"69",10.49,9.58,11.4,"2002","Age 30 to 34","Age"
"70",10.6,9.94,11.26,"2003","Age 30 to 34","Age"
"71",10.65,8.39,12.9,"1998","Age 35 to 39","Age"
"72",10.71,10.02,11.4,"2017","Age 35 to 39","Age"
"73",11.1,10.46,11.74,"2015","Age 35 to 39","Age"
"74",11.12,9.14,13.1,"2010","Age 30 to 34","Age"
"75",11.37,10.72,12.02,"2013","Age 35 to 39","Age"
"76",11.49,10.83,12.16,"2011","Age 35 to 39","Age"
"77",11.59,10.9,12.29,"2012","Age 35 to 39","Age"
"78",11.75,11.11,12.4,"2016","Age 35 to 39","Age"
"79",11.79,10.81,12.76,"2000","Age 35 to 39","Age"
"80",12.05,11.36,12.75,"2018","Age 35 to 39","Age"
"81",12.14,11.42,12.87,"2014","Age 35 to 39","Age"
"82",12.17,11.45,12.89,"2019","Age 35 to 39","Age"
"83",12.34,10.71,13.98,"2004","Age 30 to 34","Age"
"84",12.35,10.65,14.05,"1999","Age 35 to 39","Age"
"85",12.35,11.69,13.02,"2009","Age 35 to 39","Age"
"86",13.28,11,15.56,"1996","Age 35 to 39","Age"
"87",13.57,12.87,14.27,"2007","Age 35 to 39","Age"
"88",13.71,13.03,14.38,"2005","Age 35 to 39","Age"
"89",14.25,13.19,15.31,"2002","Age 35 to 39","Age"
"90",14.33,11.67,16.98,"1997","Age 40 to 44","Age"
"91",14.35,13.51,15.18,"2020","Age 40 to 44","Age"
"92",14.77,13.98,15.55,"2003","Age 35 to 39","Age"
"93",14.88,11.16,18.6,"1999","Underweight","BMI"
"94",15.14,12.2,18.07,"1998","Age 40 to 44","Age"
"95",15.17,14.44,15.91,"2015","Age 40 to 44","Age"
"96",15.43,9.18,21.68,"1998","Underweight","BMI"
"97",15.47,14.59,16.36,"2017","Age 40 to 44","Age"
"98",15.54,14.72,16.36,"2001","Age 40 to 44","Age"
"99",15.57,14.81,16.33,"2019","Age 40 to 44","Age"
"100",15.8,15.11,16.49,"2011","Age 40 to 44","Age"
"101",15.98,15.24,16.72,"2013","Age 40 to 44","Age"
"102",16.08,15.3,16.87,"2016","Age 40 to 44","Age"
"103",16.1,15.29,16.92,"2018","Age 40 to 44","Age"
"104",16.22,14.08,18.35,"2010","Age 35 to 39","Age"
"105",16.65,15.86,17.44,"2014","Age 40 to 44","Age"
"106",16.74,15.02,18.47,"2004","Age 35 to 39","Age"
"107",16.75,15.35,18.16,"1997","Healthy weight","BMI"
"108",16.75,15.98,17.52,"2012","Age 40 to 44","Age"
"109",16.91,14.95,18.87,"1999","Age 40 to 44","Age"
