"","Number of People","CI_Prop_low","CI_Prop_upp","Year","Dem_group","Category"
"1",275117,57603,492631,"2016","Underweight","BMI"
"2",276454,31027,521882,"2004","Underweight","BMI"
"3",287472.774774973,8074,566870,"2000","25 to 29","Age"
"4",360107,138873,581342,"2002","Underweight","BMI"
"5",443003,152702,733304,"2018","20 to 24","Age"
"6",460954.803748537,75496,846413,"2000","20 to 24","Age"
"7",512620,144193,881047,"2012","Underweight","BMI"
"8",519467,148084,890849,"2000","Underweight","BMI"
"9",531614,170449,892780,"2008","20 to 24","Age"
"10",551346,190396,912296,"2004","20 to 24","Age"
"11",572778,234854,910701,"2010","20 to 24","Age"
"12",573005,151715,994295,"2018","Underweight","BMI"
"13",577758,104679,1050837,"2012","20 to 24","Age"
"14",602852,334659,871045,"2008","Underweight","BMI"
"15",603904,243802,964006,"2016","30 to 34","Age"
"16",654936,271489,1038384,"2004","25 to 29","Age"
"17",669920,262985,1076855,"2006","Underweight","BMI"
"18",696160,285419,1106900,"2012","25 to 29","Age"
"19",710606,289907,1131305,"2014","25 to 29","Age"
"20",728170,308420,1147921,"2002","20 to 24","Age"
"21",740295,319386,1161204,"2006","25 to 29","Age"
"22",750117,280365,1219868,"2014","20 to 24","Age"
"23",752056,385180,1118932,"2010","Underweight","BMI"
"24",806846,402115,1211577,"2006","20 to 24","Age"
"25",821716,366310,1277122,"2014","Underweight","BMI"
"26",829931,364505,1295358,"2016","20 to 24","Age"
"27",889414,436638,1342190,"2002","25 to 29","Age"
"28",937555,480691,1394420,"2010","25 to 29","Age"
"29",1009215,478480,1539950,"2008","25 to 29","Age"
"30",1021066.53255364,442506,1599626,"2000","30 to 34","Age"
"31",1033975,515774,1552177,"2016","25 to 29","Age"
"32",1098446,480295,1716596,"2018","25 to 29","Age"
"33",1114434,642596,1586273,"2012","30 to 34","Age"
"34",1186653,714715,1658591,"2008","30 to 34","Age"
"35",1309396,813018,1805775,"2010","30 to 34","Age"
"36",1351735,755850,1947620,"2002","30 to 34","Age"
"37",1455818,858375,2053261,"2006","30 to 34","Age"
"38",1526811,952125,2101496,"2012","35 to 39","Age"
"39",1566222,976242,2156202,"2018","30 to 34","Age"
"40",1665558,1106752,2224365,"2014","35 to 39","Age"
"41",1863763.95134451,1069667,2657859,"2000","35 to 39","Age"
"42",1915354,1275744,2554964,"2014","30 to 34","Age"
"43",1938828,1238139,2639518,"2004","35 to 39","Age"
"44",1964368,1353417,2575318,"2010","35 to 39","Age"
"45",2025502,1276826,2774178,"2006","35 to 39","Age"
"46",2065186,1313871,2816502,"2004","30 to 34","Age"
"47",2284317,1526621,3042014,"2002","35 to 39","Age"
"48",2331539,1551505,3111573,"2018","35 to 39","Age"
"49",2398177,1581400,3214953,"2016","35 to 39","Age"
"50",2452218,1602200,3302235,"2012","40 to 44","Age"
"51",2501476,1687765,3315187,"2002","40 to 44","Age"
"52",2679971,1926689,3433253,"2010","40 to 44","Age"
"53",2722212.94969565,1807725,3636700,"2000","40 to 44","Age"
"54",2954728,2007068,3902387,"2016","40 to 44","Age"
"55",2996131,2177349,3814913,"2008","35 to 39","Age"
"56",3034996,1934692,4135301,"2018","40 to 44","Age"
"57",3266235.58770202,2396840,4135630,"2000","55 to 59","Age"
"58",3464846,2513669,4416023,"2014","40 to 44","Age"
"59",3492680.38919539,2398967,4586393,"2000","45 to 49","Age"
"60",3681629,2543628,4819629,"2018","45 to 49","Age"
"61",3687087,2939259,4434914,"2002","65 to 69","Age"
"62",3728920,2702199,4755641,"2008","40 to 44","Age"
"63",4024644,2925410,5123877,"2006","40 to 44","Age"
"64",4141448,2979858,5303037,"2004","45 to 49","Age"
"65",4154471.97558059,3339211,4969732,"2000","65 to 69","Age"
"66",4281655,3492140,5071169,"2002","60 to 64","Age"
"67",4301809.95748295,3474315,5129303,"2000","60 to 64","Age"
"68",4318972,3255349,5382596,"2002","45 to 49","Age"
"69",4328116,3283258,5372974,"2014","45 to 49","Age"
"70",4359232.81306693,3346654,5371811,"2000","50 to 54","Age"
"71",4383884,3139606,5628161,"2012","45 to 49","Age"
"72",4392581,3549815,5235348,"2004","60 to 64","Age"
"73",4415674,3456539,5374809,"2002","50 to 54","Age"
"74",4417422,3275076,5559769,"2016","45 to 49","Age"
"75",4451415,3325455,5577374,"2006","45 to 49","Age"
"76",4496446,3342760,5650131,"2004","40 to 44","Age"
"77",4642084,3648531,5635637,"2002","55 to 59","Age"
"78",4822161,3790687,5853635,"2010","45 to 49","Age"
"79",4845839,3966513,5725164,"2004","65 to 69","Age"
"80",4864000,3734563,5993437,"2004","55 to 59","Age"
"81",5367842,4044183,6691501,"2012","65 to 69","Age"
"82",5495945,4436684,6555206,"2006","60 to 64","Age"
"83",5605195,4168186,7042204,"2012","50 to 54","Age"
"84",5629749,4408184,6851314,"2008","45 to 49","Age"
"85",5727152,4714247,6740056,"2008","65 to 69","Age"
"86",5743560,4499231,6987890,"2008","55 to 59","Age"
"87",5803734,4501704,7105765,"2006","50 to 54","Age"
"88",5894856,4763205,7026506,"2006","65 to 69","Age"
"89",6049915,4627151,7472678,"2012","60 to 64","Age"
"90",6099250,4761105,7437396,"2006","55 to 59","Age"
"91",6133155,5025882,7240428,"2010","65 to 69","Age"
"92",6146149,4849127,7443171,"2010","55 to 59","Age"
"93",6168963,4618814,7719112,"2016","50 to 54","Age"
"94",6383606,5123401,7643812,"2010","50 to 54","Age"
"95",6443763,5347772,7539754,"2010","60 to 64","Age"
"96",6667388,5346341,7988435,"2008","50 to 54","Age"
"97",6714045,4881214,8546877,"2018","50 to 54","Age"
"98",6801190,5434224,8168157,"2004","50 to 54","Age"
"99",6894288,5449075,8339500,"2014","50 to 54","Age"
"100",6995337,5912451,8078224,"2008","60 to 64","Age"
"101",7239667,5732703,8746631,"2014","55 to 59","Age"
"102",7629518,5798240,9460795,"2012","55 to 59","Age"
"103",7691610,6297956,9085264,"2014","65 to 69","Age"
"104",8067953,6142522,9993383,"2018","65 to 69","Age"
"105",8332542,6599622,10065463,"2016","55 to 59","Age"
"106",8553663,7215600,9891727,"2000","Healthy weight","BMI"
"107",8785661,6920896,10650425,"2016","60 to 64","Age"
"108",8930994,7599105,10262883,"2002","Healthy weight","BMI"
"109",8941821,7057182,10826459,"2018","60 to 64","Age"
"110",9026695,6937306,11116084,"2018","55 to 59","Age"
"111",9242964,7237277,11248652,"2016","65 to 69","Age"
"112",9304685,8328714,10280656,"2002","70 and above","Age"
"113",9367578,7749575,10985581,"2014","60 to 64","Age"
"114",9425922.64588739,8362406,10489438,"2000","70 and above","Age"
"115",10052859,8244161,11861558,"2018","Healthy weight","BMI"
"116",10228398,8701952,11754844,"2014","Healthy weight","BMI"
"117",10410234,8995128,11825341,"2010","Healthy weight","BMI"
"118",11020659,9446501,12594816,"2006","Healthy weight","BMI"
