"","Proportion","CI_Prop_low","CI_Prop_upp","Year","Dem_group","Category"
"1",1.64,0.06,3.22,"2000","25 to 29","Age"
"2",2.15,0.74,3.56,"2018","20 to 24","Age"
"3",2.47,0.43,4.51,"2000","20 to 24","Age"
"4",2.65,0.87,4.43,"2008","20 to 24","Age"
"5",2.69,0.52,4.85,"2012","20 to 24","Age"
"6",2.89,1.03,4.76,"2004","20 to 24","Age"
"7",2.89,1.21,4.58,"2010","20 to 24","Age"
"8",2.95,1.21,4.69,"2016","30 to 34","Age"
"9",3.4,1.31,5.49,"2014","20 to 24","Age"
"10",3.51,1.52,5.5,"2002","20 to 24","Age"
"11",3.64,1.55,5.73,"2004","25 to 29","Age"
"12",3.66,1.54,5.79,"2014","25 to 29","Age"
"13",3.75,1.57,5.92,"2012","25 to 29","Age"
"14",4.01,2.03,5.99,"2006","20 to 24","Age"
"15",4.16,1.84,6.47,"2006","25 to 29","Age"
"16",4.37,1.98,6.77,"2016","20 to 24","Age"
"17",4.46,2.33,6.59,"2010","25 to 29","Age"
"18",4.59,2.34,6.83,"2016","25 to 29","Age"
"19",4.9,2.46,7.34,"2002","25 to 29","Age"
"20",5.08,2.28,7.89,"2000","30 to 34","Age"
"21",5.09,2.49,7.7,"2008","25 to 29","Age"
"22",5.45,2.46,8.43,"2018","25 to 29","Age"
"23",5.87,3.45,8.29,"2012","30 to 34","Age"
"24",6.81,4.19,9.44,"2008","30 to 34","Age"
"25",7.08,4.07,10.1,"2002","30 to 34","Age"
"26",7.16,4.54,9.77,"2010","30 to 34","Age"
"27",7.48,4.69,10.26,"2018","30 to 34","Age"
"28",7.94,4.81,11.07,"2006","30 to 34","Age"
"29",8.29,5.29,11.3,"2012","35 to 39","Age"
"30",8.38,1.22,15.54,"2004","Underweight","BMI"
"31",8.54,5.06,12.02,"2000","35 to 39","Age"
"32",8.87,6,11.74,"2014","35 to 39","Age"
"33",8.92,2.01,15.82,"2016","Underweight","BMI"
"34",9.72,6.63,12.82,"2014","30 to 34","Age"
"35",9.95,7,12.89,"2010","35 to 39","Age"
"36",10.2,6.63,13.78,"2006","35 to 39","Age"
"37",10.35,6.79,13.9,"2004","30 to 34","Age"
"38",10.45,6.86,14.04,"2004","35 to 39","Age"
"39",10.55,4.18,16.93,"2002","Underweight","BMI"
"40",10.88,7.47,14.29,"2002","35 to 39","Age"
"41",11.46,7.93,14.98,"2002","40 to 44","Age"
"42",12.09,8.23,15.94,"2018","35 to 39","Age"
"43",12.2,8.21,16.19,"2012","40 to 44","Age"
"44",12.26,9,15.52,"2010","40 to 44","Age"
"45",12.65,8.63,16.67,"2016","35 to 39","Age"
"46",13.57,4.36,22.78,"2000","Underweight","BMI"
"47",14.25,9.78,18.72,"2000","40 to 44","Age"
"48",14.29,10.67,17.91,"2008","35 to 39","Age"
"49",14.43,4.89,23.98,"2012","Underweight","BMI"
"50",14.52,12.33,16.72,"2000","Healthy weight","BMI"
"51",15.16,13.02,17.31,"2002","Healthy weight","BMI"
"52",15.76,11.12,20.4,"2016","40 to 44","Age"
"53",16.34,12.27,20.42,"2014","40 to 44","Age"
"54",16.37,14.44,18.3,"2000","Male","Sex"
"55",16.49,5.1,27.89,"2018","Underweight","BMI"
"56",16.66,14.35,18.97,"2014","Healthy weight","BMI"
"57",16.83,11.22,22.45,"2018","40 to 44","Age"
"58",16.93,14.78,19.08,"2010","Healthy weight","BMI"
"59",17,15.24,18.77,"2002","Male","Sex"
"60",17.85,15.47,20.23,"2006","Healthy weight","BMI"
"61",18.28,10.24,26.33,"2008","Underweight","BMI"
"62",18.29,15.2,21.38,"2018","Healthy weight","BMI"
"63",18.44,15.66,21.22,"2012","Healthy weight","BMI"
"64",18.65,8.44,28.87,"2006","Underweight","BMI"
"65",18.7,15.8,21.6,"2016","Healthy weight","BMI"
"66",18.76,16.61,20.91,"2012","Male","Sex"
"67",18.95,14.27,23.62,"2008","40 to 44","Age"
"68",19.01,14.34,23.68,"2006","40 to 44","Age"
"69",19.06,16.66,21.46,"2004","Healthy weight","BMI"
"70",19.15,16.73,21.58,"2000","Overweight","BMI"
"71",19.27,10.5,28.05,"2010","Underweight","BMI"
"72",19.39,13.81,24.98,"2018","45 to 49","Age"
"73",19.5,17.13,21.87,"2008","Healthy weight","BMI"
"74",19.57,17.38,21.76,"2002","Overweight","BMI"
"75",19.97,15.39,24.55,"2006","45 to 49","Age"
"76",20.12,15.63,24.61,"2002","45 to 49","Age"
"77",20.14,15.07,25.2,"2004","45 to 49","Age"
"78",20.23,18.27,22.19,"2006","Male","Sex"
"79",20.23,18.77,21.68,"2000","US Population","Overall"
"80",20.26,18.26,22.25,"2004","Male","Sex"
"81",20.31,18.53,22.08,"2010","Male","Sex"
"82",20.31,19.01,21.62,"2002","US Population","Overall"
"83",20.4,15.68,25.11,"2004","40 to 44","Age"
"84",20.72,18.07,23.37,"2012","Overweight","BMI"
"85",20.91,18.88,22.94,"2014","Male","Sex"
"86",21,16.09,25.92,"2016","45 to 49","Age"
"87",21.11,15.25,26.98,"2000","45 to 49","Age"
"88",21.43,16.84,26.01,"2014","45 to 49","Age"
"89",21.48,16.08,26.88,"2012","45 to 49","Age"
