"","Number of People","CI_Prop_low","CI_Prop_upp","Year","Dem_group","Category"
"1",740643,557737,923548,"2006","Underweight","BMI"
"2",863902,620297,1107506,"2007","Underweight","BMI"
"3",881432,673627,1089236,"2008","Underweight","BMI"
"4",896354,726377,1066330,"2005","Underweight","BMI"
"5",910667,741840,1079493,"2003","Underweight","BMI"
"6",912666,737099,1088232,"2002","Underweight","BMI"
"7",918456,720933,1115978,"2016","Underweight","BMI"
"8",955210,769320,1141099,"2010","Underweight","BMI"
"9",965686,761936,1169435,"2012","Underweight","BMI"
"10",1032415,844781,1220048,"2011","Underweight","BMI"
"11",1057417,808338,1306495,"2018","Underweight","BMI"
"12",1089426,836778,1342073,"2017","Underweight","BMI"
"13",1104016,881216,1326815,"2015","Underweight","BMI"
"14",1129212,818615,1439808,"2009","Underweight","BMI"
"15",1152984,888495,1417472,"2014","Underweight","BMI"
"16",1167712,944436,1390987,"2013","Underweight","BMI"
"17",2615463,2305003,2925922,"2002","25 to 29","Age"
"18",2763696,2317688,3209703,"2007","25 to 29","Age"
"19",2838137,2406106,3270167,"2007","18 to 24","Age"
"20",3017019,2662691,3371346,"2005","25 to 29","Age"
"21",3197218,2802554,3591881,"2012","25 to 29","Age"
"22",3201422,2812482,3590361,"2007","30 to 34","Age"
"23",3241487,2903737,3579236,"2003","25 to 29","Age"
"24",3271151,2849619,3692682,"2006","25 to 29","Age"
"25",3312552,2882396,3742707,"2006","18 to 24","Age"
"26",3352787,2959854,3745719,"2013","25 to 29","Age"
"27",3503387,3143139,3863634,"2011","25 to 29","Age"
"28",3549690,3125447,3973932,"2006","30 to 34","Age"
"29",3584462,3232161,3936762,"2005","30 to 34","Age"
"30",3617698,3156895,4078500,"2008","25 to 29","Age"
"31",3620898,3185866,4055929,"2008","30 to 34","Age"
"32",3633478,3293388,3973567,"2002","30 to 34","Age"
"33",3652045,3182154,4121935,"2009","25 to 29","Age"
"34",3655074,3218712,4091435,"2016","25 to 29","Age"
"35",3796092,3361278,4230905,"2010","25 to 29","Age"
"36",3827298,3475990,4178605,"2003","30 to 34","Age"
"37",3838826,3425874,4251777,"2014","25 to 29","Age"
"38",3876570,3491276,4261863,"2012","30 to 34","Age"
"39",3896642,3471313,4321970,"2002","18 to 24","Age"
"40",3903455,3398778,4408131,"2018","25 to 29","Age"
"41",3934168,3416036,4452299,"2013","18 to 24","Age"
"42",3961085,3490006,4432163,"2005","18 to 24","Age"
"43",3981060,3532597,4429522,"2007","35 to 39","Age"
"44",3992466,3530811,4454120,"2012","18 to 24","Age"
"45",3997097,3547365,4446828,"2015","25 to 29","Age"
"46",4046884,3615399,4478368,"2013","30 to 34","Age"
"47",4076663,3461537,4691788,"2018","18 to 24","Age"
"48",4079877,3726691,4433062,"2002","65 to 69","Age"
"49",4082966,3645872,4520059,"2003","18 to 24","Age"
"50",4084262,3626726,4541797,"2017","30 to 34","Age"
"51",4087803,3637198,4538407,"2011","18 to 24","Age"
"52",4091702,3682169,4501234,"2013","35 to 39","Age"
"53",4104495,3601287,4607702,"2016","18 to 24","Age"
"54",4140502,3567237,4713766,"2015","18 to 24","Age"
"55",4140939,3717835,4564042,"2010","30 to 34","Age"
"56",4164628,3754783,4574472,"2012","35 to 39","Age"
"57",4169670,3680001,4659338,"2017","25 to 29","Age"
"58",4171277,3723322,4619231,"2006","35 to 39","Age"
"59",4178458,3634658,4722257,"2017","18 to 24","Age"
"60",4219307,3762911,4675702,"2009","30 to 34","Age"
"61",4250850,3752393,4749306,"2014","30 to 34","Age"
"62",4266276,3896678,4635873,"2005","35 to 39","Age"
"63",4285395,3716528,4854261,"2009","18 to 24","Age"
"64",4310053,3787890,4832215,"2014","18 to 24","Age"
"65",4361499,3955151,4767846,"2011","30 to 34","Age"
"66",4431048,4000558,4861537,"2007","65 to 69","Age"
"67",4455200,4007397,4903002,"2014","35 to 39","Age"
"68",4463527,4058546,4868507,"2011","35 to 39","Age"
"69",4465967,3912370,5019563,"2010","18 to 24","Age"
"70",4470957,4029155,4912758,"2010","35 to 39","Age"
"71",4492774,4003216,4982331,"2008","35 to 39","Age"
"72",4497442,3873241,5121642,"2008","18 to 24","Age"
"73",4549433,4033040,5065825,"2016","30 to 34","Age"
"74",4553283,4183665,4922900,"2003","65 to 69","Age"
"75",4553883,4174743,4933022,"2002","35 to 39","Age"
"76",4620819,4112088,5129549,"2018","30 to 34","Age"
"77",4628061,4183701,5072420,"2012","40 to 44","Age"
"78",4680540,4210901,5150178,"2015","30 to 34","Age"
"79",4692585,4205002,5180167,"2017","35 to 39","Age"
"80",4693069,4180970,5205167,"2009","35 to 39","Age"
"81",4702443,4330349,5074536,"2005","65 to 69","Age"
"82",4705447,4233993,5176900,"2015","35 to 39","Age"
"83",4750495,4247650,5253339,"2016","35 to 39","Age"
"84",4769028,4260544,5277511,"2018","35 to 39","Age"
"85",4836741,4458605,5214876,"2002","60 to 64","Age"
"86",4916154,4458265,5374042,"2006","65 to 69","Age"
"87",5105534,4697058,5514009,"2003","35 to 39","Age"
"88",5287350,4746068,5828631,"2007","40 to 44","Age"
"89",5329144,4779370,5878917,"2016","40 to 44","Age"
"90",5434806,4949899,5919712,"2008","65 to 69","Age"
"91",5505642,5018431,5992852,"2013","40 to 44","Age"
"92",5522355,5044703,6000006,"2009","65 to 69","Age"
"93",5541927,5119381,5964472,"2003","60 to 64","Age"
"94",5545039,5014458,6075619,"2006","40 to 44","Age"
"95",5572620,5045000,6100239,"2015","40 to 44","Age"
"96",5749833,5242145,6257520,"2014","40 to 44","Age"
"97",5760167,5184824,6335509,"2018","40 to 44","Age"
"98",5836224,5269899,6402548,"2017","40 to 44","Age"
"99",5958069,5416053,6500084,"2010","40 to 44","Age"
"100",5975377,5536311,6414442,"2002","55 to 59","Age"
"101",5984987,5405238,6564735,"2009","40 to 44","Age"
"102",6037481,5546017,6528944,"2010","65 to 69","Age"
"103",6080665,5587388,6573941,"2011","40 to 44","Age"
"104",6148002,5604126,6691877,"2006","60 to 64","Age"
"105",6162346,5729917,6594774,"2011","65 to 69","Age"
"106",6198661,5557784,6839537,"2008","40 to 44","Age"
"107",6253338,5780144,6726531,"2005","40 to 44","Age"
"108",6300584,5819622,6781545,"2002","40 to 44","Age"
"109",6389848,5902587,6877108,"2012","65 to 69","Age"
"110",6404859,5862829,6946888,"2013","45 to 49","Age"
"111",6408797,5949541,6868052,"2005","60 to 64","Age"
"112",6501454,5955385,7047522,"2007","60 to 64","Age"
"113",6544217,6064648,7023785,"2003","40 to 44","Age"
"114",6600314,6119703,7080924,"2002","45 to 49","Age"
"115",6696582,6082309,7310854,"2018","45 to 49","Age"
"116",6704406,6226028,7182783,"2002","50 to 54","Age"
"117",6743892,6138124,7349659,"2007","55 to 59","Age"
"118",6833886,6279443,7388328,"2012","45 to 49","Age"
"119",6917039,6323297,7510780,"2016","45 to 49","Age"
"120",6917272,6313466,7521077,"2015","45 to 49","Age"
"121",6954667,6308394,7600939,"2017","45 to 49","Age"
"122",6970384,6380445,7560322,"2014","45 to 49","Age"
"123",7016344,6523291,7509396,"2013","65 to 69","Age"
"124",7081614,6422447,7740780,"2007","45 to 49","Age"
"125",7111459,6467249,7755668,"2008","45 to 49","Age"
"126",7145789,6660340,7631237,"2003","55 to 59","Age"
"127",7151726,6559135,7744316,"2008","60 to 64","Age"
"128",7255704,6672802,7838605,"2006","55 to 59","Age"
"129",7312414,6783636,7841191,"2003","45 to 49","Age"
"130",7312873,6680362,7945383,"2006","45 to 49","Age"
"131",7333850,6713368,7954331,"2008","55 to 59","Age"
"132",7336104,6821558,7850649,"2014","65 to 69","Age"
"133",7347550,6852445,7842654,"2005","55 to 59","Age"
"134",7362540,6711663,8013416,"2007","50 to 54","Age"
"135",7385181,6876076,7894285,"2003","50 to 54","Age"
"136",7455890,6934483,7977296,"2005","45 to 49","Age"
"137",7565361,6909198,8221523,"2009","45 to 49","Age"
"138",7607970,7095963,8119976,"2005","50 to 54","Age"
"139",7654278,7016461,8292094,"2006","50 to 54","Age"
"140",7849749,7283295,8416202,"2011","45 to 49","Age"
"141",7893759,7364858,8422659,"2017","65 to 69","Age"
"142",7964793,7384521,8545064,"2010","60 to 64","Age"
"143",8017504,7437629,8597378,"2015","65 to 69","Age"
"144",8035468,7380701,8690234,"2010","45 to 49","Age"
"145",8078380,7472197,8684562,"2009","60 to 64","Age"
"146",8218068,7688975,8747160,"2016","65 to 69","Age"
"147",8369167,7759718,8978615,"2012","50 to 54","Age"
"148",8388411,7758176,9018645,"2009","55 to 59","Age"
"149",8433185,7875814,8990555,"2011","55 to 59","Age"
"150",8484346,7892469,9076222,"2012","55 to 59","Age"
"151",8496398,7801678,9191117,"2018","50 to 54","Age"
"152",8608902,8015636,9202167,"2014","55 to 59","Age"
"153",8663820,8086744,9240895,"2012","60 to 64","Age"
"154",8754572,8030455,9478688,"2008","50 to 54","Age"
"155",8812901,8174595,9451206,"2013","50 to 54","Age"
"156",8816456,8039801,9593110,"2014","50 to 54","Age"
"157",8836877,8233476,9440277,"2013","60 to 64","Age"
"158",8841510,8210477,9472542,"2015","60 to 64","Age"
"159",8897316,8232150,9562481,"2015","50 to 54","Age"
"160",8900409,8307344,9493473,"2018","65 to 69","Age"
"161",8945043,8303336,9586749,"2010","55 to 59","Age"
"162",9050804,8308386,9793221,"2009","50 to 54","Age"
"163",9054476,8416035,9692916,"2014","60 to 64","Age"
"164",9073105,8501882,9644327,"2011","60 to 64","Age"
"165",9085222,8356951,9813492,"2017","50 to 54","Age"
"166",9170257,8494202,9846311,"2018","55 to 59","Age"
"167",9194836,8560792,9828879,"2011","50 to 54","Age"
"168",9198337,8534452,9862221,"2016","50 to 54","Age"
"169",9373166,8751652,9994679,"2013","55 to 59","Age"
"170",9406665,8711506,10101823,"2017","55 to 59","Age"
"171",9424447,8742962,10105931,"2010","50 to 54","Age"
"172",9633115,8980601,10285628,"2016","55 to 59","Age"
"173",9881533,9167896,10595169,"2015","55 to 59","Age"
"174",10207052,9506382,10907721,"2017","60 to 64","Age"
"175",10334709,9624918,11044499,"2018","60 to 64","Age"
"176",10342276,9660556,11023995,"2016","60 to 64","Age"
"177",11375277,10711030,12039523,"2007","70 and above","Age"
"178",11433687,10891116,11976257,"2002","70 and above","Age"
"179",12205609,11502936,12908281,"2006","70 and above","Age"
"180",12224059,11510241,12937876,"2008","70 and above","Age"
"181",12748653,12152100,13345205,"2003","70 and above","Age"
"182",12837057,12191929,13482184,"2012","70 and above","Age"
"183",13079697,12492215,13667178,"2005","70 and above","Age"
"184",13122240,12445004,13799475,"2010","70 and above","Age"
"185",13592891,12843494,14342287,"2009","70 and above","Age"
"186",14500334,13856353,15144314,"2011","70 and above","Age"
"187",14891842,14183627,15600056,"2013","70 and above","Age"
"188",15100796,14390548,15811043,"2014","70 and above","Age"
"189",16091128,15374872,16807383,"2016","70 and above","Age"
"190",16302438,15531091,17073784,"2015","70 and above","Age"
"191",16910569,15993927,17827210,"2007","Healthy weight","BMI"
"192",18000446,17219991,18780900,"2017","70 and above","Age"
"193",18112020,17358759,18865280,"2002","Healthy weight","BMI"
"194",18739961,17882078,19597843,"2012","Healthy weight","BMI"
"195",18770139,17835028,19705249,"2006","Healthy weight","BMI"
"196",18784948,17977256,19592639,"2018","70 and above","Age"
"197",18851390,18086913,19615866,"2002","Obese","BMI"
"198",18891309,18110972,19671645,"2005","Healthy weight","BMI"
"199",18986321,17993676,19978965,"2008","Healthy weight","BMI"
"200",19756749,18809732,20703765,"2014","Healthy weight","BMI"
"201",20142001,19346033,20937968,"2003","Obese","BMI"
"202",20301190,19512524,21089855,"2002","Overweight","BMI"
"203",20362943,19453651,21272234,"2013","Healthy weight","BMI"
"204",20408183,19433192,21383173,"2007","Obese","BMI"
"205",20445455,19420055,21470854,"2007","Overweight","BMI"
"206",20506703,19700040,21313365,"2003","Healthy weight","BMI"
"207",20594061,19575455,21612666,"2009","Healthy weight","BMI"
"208",20748766,19795516,21702015,"2010","Healthy weight","BMI"
"209",20800462,19935661,21665262,"2011","Healthy weight","BMI"
"210",20888107,19899159,21877054,"2016","Healthy weight","BMI"
"211",20977254,19997296,21957211,"2015","Healthy weight","BMI"
"212",21021261,19997907,22044614,"2018","Healthy weight","BMI"
"213",21211729,20223584,22199873,"2006","Overweight","BMI"
"214",21369942,20358958,22380925,"2017","Healthy weight","BMI"
"215",21576377,20750077,22402676,"2005","Obese","BMI"
"216",22153981,21144527,23163434,"2006","Obese","BMI"
"217",23110725,22013010,24208439,"2008","Overweight","BMI"
"218",23150914,22214249,24087578,"2012","Overweight","BMI"
"219",23317030,22451237,24182822,"2003","Overweight","BMI"
"220",23749692,22878477,24620906,"2005","Overweight","BMI"
"221",24289864,23163608,25416119,"2008","Obese","BMI"
"222",24800130,23768772,25831487,"2010","Overweight","BMI"
"223",25373281,24391727,26354834,"2012","Obese","BMI"
"224",25470148,24363385,26576910,"2009","Obese","BMI"
"225",25517054,24405805,26628302,"2009","Overweight","BMI"
"226",25744149,24734666,26753631,"2013","Overweight","BMI"
"227",25800917,24856112,26745721,"2011","Overweight","BMI"
"228",25957382,24854876,27059887,"2014","Overweight","BMI"
"229",26611484,25581911,27641056,"2013","Obese","BMI"
"230",26740352,25667674,27813029,"2010","Obese","BMI"
"231",26872240,25770425,27974054,"2015","Overweight","BMI"
"232",27083448,26024959,28141936,"2016","Overweight","BMI"
"233",27098330,26009557,28187102,"2018","Overweight","BMI"
"234",27112397,25913452,28311341,"2007","Male","Sex"
"235",27310708,26361319,28260096,"2002","Male","Sex"
"236",27352759,26222167,28483350,"2017","Overweight","BMI"
"237",27669487,26701977,28636996,"2011","Obese","BMI"
"238",28508809,27445609,29572008,"2014","Obese","BMI"
"239",29411416,28420832,30401999,"2003","Male","Sex"
"240",29464573,28272599,30656546,"2006","Male","Sex"
"241",30152363,29133622,31171103,"2005","Male","Sex"
"242",30230612,29072154,31389069,"2015","Obese","BMI"
"243",31077681,29941302,32214059,"2016","Obese","BMI"
"244",31561573,30230471,32892674,"2008","Male","Sex"
"245",31985131,30796408,33173853,"2017","Obese","BMI"
"246",32106320,30970947,33241692,"2012","Male","Sex"
"247",33319744,32379886,34259601,"2002","Female","Sex"
"248",33609462,32330262,34888661,"2018","Obese","BMI"
"249",33675624,32495921,34855326,"2013","Male","Sex"
"250",34237308,32902753,35571862,"2009","Male","Sex"
"251",34455093,33246631,35663554,"2007","Female","Sex"
"252",34756313,33483339,36029286,"2010","Male","Sex"
"253",35679149,34545620,36812677,"2011","Male","Sex"
"254",35694768,34372793,37016742,"2014","Male","Sex"
"255",35877756,34677872,37077639,"2006","Female","Sex"
"256",37137325,35852938,38421711,"2016","Male","Sex"
"257",37149134,35834381,38463886,"2017","Male","Sex"
"258",37446429,36116230,38776627,"2015","Male","Sex"
"259",37532164,36523993,38540334,"2005","Female","Sex"
"260",38077333,37061698,39092967,"2003","Female","Sex"
"261",38876372,37574519,40178224,"2008","Female","Sex"
"262",39330747,38177071,40484422,"2012","Female","Sex"
"263",40229798,38827847,41631748,"2018","Male","Sex"
"264",40795697,39471953,42119440,"2009","Female","Sex"
"265",41605183,40372950,42837415,"2010","Female","Sex"
"266",42031287,40905677,43156896,"2011","Female","Sex"
"267",42591548,41364820,43818275,"2013","Female","Sex"
"268",42797112,41557935,44036288,"2014","Female","Sex"
"269",44507350,43192661,45822038,"2015","Female","Sex"
"270",45283637,43901274,46665999,"2018","Female","Sex"
"271",45651279,44327808,46974749,"2016","Female","Sex"
"272",47359876,45955941,48763810,"2017","Female","Sex"
"273",60630452,59390999.028195,61869904.971805,"2002","US Population","Overall"
"274",61567490,59973656.3691154,63161323.6308846,"2007","US Population","Overall"
"275",65342329,63769694.2229323,66914963.7770677,"2006","US Population","Overall"
"276",67488749,66184486.8005493,68793011.1994507,"2003","US Population","Overall"
"277",67684527,66365452.2729326,69003601.7270674,"2005","US Population","Overall"
"278",70437945,68713877.6235833,72162012.3764167,"2008","US Population","Overall"
"279",71437067,69928478.5039773,72945655.4960227,"2012","US Population","Overall"
"280",75033005,73275374.0007371,76790635.9992629,"2009","US Population","Overall"
"281",76267172,74685099.8643268,77849244.1356732,"2013","US Population","Overall"
"282",76361496,74726993.0301716,77995998.9698284,"2010","US Population","Overall"
"283",77710436,76242015.034115,79178856.965885,"2011","US Population","Overall"
"284",78491880,76802671.3950812,80181088.6049188,"2014","US Population","Overall"
"285",81953779,80225824.8594424,83681733.1405576,"2015","US Population","Overall"
"286",82788604,81063674.736501,84513533.263499,"2016","US Population","Overall"
"287",84509010,82725535.5988118,86292484.4011882,"2017","US Population","Overall"
"288",85513435,83692666.8084676,87334203.1915324,"2018","US Population","Overall"
