"","Proportion","CI_Prop_low","CI_Prop_upp","Year","Dem_group","Category"
"1",9.91,8.46,11.35,"2007","18 to 24","Age"
"2",11.69,10.23,13.14,"2006","18 to 24","Age"
"3",13,11.4,14.59,"2013","18 to 24","Age"
"4",13.22,11.77,14.67,"2012","18 to 24","Age"
"5",13.38,11.39,15.38,"2007","25 to 29","Age"
"6",13.71,12.28,15.13,"2011","18 to 24","Age"
"7",13.8,12.19,15.4,"2016","18 to 24","Age"
"8",13.87,12.08,15.65,"2015","18 to 24","Age"
"9",13.93,11.98,15.89,"2018","18 to 24","Age"
"10",13.98,12.44,15.53,"2005","18 to 24","Age"
"11",14.22,12.46,15.97,"2017","18 to 24","Age"
"12",14.25,12.81,15.7,"2002","18 to 24","Age"
"13",14.26,12.61,15.9,"2014","18 to 24","Age"
"14",14.72,13.25,16.18,"2003","18 to 24","Age"
"15",14.78,12.98,16.59,"2009","18 to 24","Age"
"16",15,13.36,16.64,"2002","25 to 29","Age"
"17",15.17,13.44,16.9,"2010","18 to 24","Age"
"18",15.52,13.76,17.28,"2012","25 to 29","Age"
"19",15.56,13.58,17.55,"2008","18 to 24","Age"
"20",15.77,14.08,17.47,"2005","25 to 29","Age"
"21",16.26,14.52,18.01,"2013","25 to 29","Age"
"22",16.55,14.69,18.4,"2007","30 to 34","Age"
"23",16.66,14.69,18.62,"2006","25 to 29","Age"
"24",16.81,15.22,18.41,"2011","25 to 29","Age"
"25",17.1,15.09,19.12,"2008","25 to 29","Age"
"26",17.11,15.21,19.01,"2016","25 to 29","Age"
"27",17.3,15.23,19.36,"2018","25 to 29","Age"
"28",17.63,15.58,19.67,"2009","25 to 29","Age"
"29",17.71,16.03,19.4,"2003","25 to 29","Age"
"30",17.99,16.38,19.6,"2005","30 to 34","Age"
"31",18.05,16.17,19.92,"2010","25 to 29","Age"
"32",18.12,16.14,20.09,"2006","30 to 34","Age"
"33",18.47,16.66,20.28,"2014","25 to 29","Age"
"34",18.51,16.96,20.07,"2003","30 to 34","Age"
"35",18.55,16.55,20.56,"2017","25 to 29","Age"
"36",18.78,17.2,20.37,"2002","30 to 34","Age"
"37",18.83,16.9,20.76,"2015","25 to 29","Age"
"38",18.87,17.16,20.58,"2012","30 to 34","Age"
"39",19.05,16.98,21.12,"2008","30 to 34","Age"
"40",19.21,17.37,21.05,"2013","30 to 34","Age"
"41",19.24,17.28,21.2,"2017","30 to 34","Age"
"42",19.39,17.42,21.37,"2007","35 to 39","Age"
"43",20.01,17.93,22.09,"2014","30 to 34","Age"
"44",20.38,18.41,22.34,"2006","35 to 39","Age"
"45",20.5,15.94,25.05,"2006","Underweight","BMI"
"46",20.58,18.48,22.67,"2016","30 to 34","Age"
"47",20.58,18.69,22.46,"2010","30 to 34","Age"
"48",20.69,19.07,22.32,"2005","35 to 39","Age"
"49",20.89,18.81,22.97,"2018","30 to 34","Age"
"50",21.09,19.34,22.84,"2011","30 to 34","Age"
"51",21.37,19.31,23.43,"2009","30 to 34","Age"
"52",21.42,17.14,25.69,"2016","Underweight","BMI"
"53",21.5,19.57,23.42,"2013","35 to 39","Age"
"54",21.52,17.55,25.49,"2005","Underweight","BMI"
"55",21.55,19.94,23.15,"2002","35 to 39","Age"
"56",21.81,19.86,23.76,"2015","30 to 34","Age"
"57",21.81,20.73,22.9,"2007","Healthy weight","BMI"
"58",21.88,19.97,23.79,"2012","35 to 39","Age"
"59",22.08,16.68,27.48,"2007","Underweight","BMI"
"60",22.37,20.2,24.53,"2008","35 to 39","Age"
"61",22.42,20.32,24.52,"2017","35 to 39","Age"
"62",22.5,20.59,24.41,"2012","40 to 44","Age"
"63",22.54,18.74,26.34,"2003","Underweight","BMI"
"64",22.79,18.87,26.71,"2002","Underweight","BMI"
"65",23.07,21.07,25.08,"2010","35 to 39","Age"
"66",23.14,20.98,25.3,"2016","35 to 39","Age"
"67",23.16,18.07,28.26,"2008","Underweight","BMI"
"68",23.36,21.15,25.56,"2018","35 to 39","Age"
"69",23.45,21.38,25.52,"2015","35 to 39","Age"
"70",23.49,22.61,24.38,"2002","Healthy weight","BMI"
"71",23.55,21.48,25.62,"2014","35 to 39","Age"
"72",23.72,21.48,25.96,"2009","35 to 39","Age"
"73",23.73,22.74,24.72,"2012","Healthy weight","BMI"
"74",23.77,21.88,25.66,"2011","35 to 39","Age"
"75",23.88,22.8,24.97,"2006","Healthy weight","BMI"
"76",24.04,23.13,24.95,"2005","Healthy weight","BMI"
"77",24.26,23.1,25.41,"2008","Healthy weight","BMI"
"78",24.43,20.12,28.74,"2010","Underweight","BMI"
"79",24.46,22.27,26.64,"2007","40 to 44","Age"
"80",24.58,22.85,26.31,"2003","35 to 39","Age"
"81",24.6,20,29.19,"2012","Underweight","BMI"
"82",24.87,20.33,29.41,"2015","Underweight","BMI"
"83",24.97,23.89,26.06,"2014","Healthy weight","BMI"
"84",24.99,19.8,30.18,"2017","Underweight","BMI"
